"Section","Subsection","Front","Back","Tag"
"3 Multivariate Statistics (250A)","c Least Squares Theory","For the OLS estimate, [$]\hat{\boldsymbol{\beta}}[/$], find its distribution  We are assuming that the errors are iid standard normal.","[$]\hat{\boldsymbol{\beta} \sim \mathcal{N}(\boldsymbol{\beta}, \sigma^2 (\mathbf{X}'\mathbf{X}){^-1})[/$]",""
"3 Multivariate Statistics (250A)","c Least Squares Theory","In OLS, with the assumption that the error is iid normal, and [$]\mathbf{X}[/$] is full rank, find the distribution of:  [$]\frac{(\hat{\boldsymbol{\beta}})' \mathbf{X'X}(\hat{\boldsymbol{\beta}} - \boldsymbol{\beta})}{\sigma^2}[/$]","[$]\frac{(\hat{\boldsymbol{\beta}})' \mathbf{X'X}(\hat{\boldsymbol{\beta}} - \boldsymbol{\beta})}{\sigma^2} \sim \chi^2_p[/$]  where [$]\mathbf{X}[/$] is full rank n x p matrix.",""
"3 Multivariate Statistics (250A)","c Least Squares Theory","In OLS, with the assumption that the errors are iid normal, and that X is full rank, prove that:  [$]\hat{\boldsymbol{\beta}} \perp \S^2[/$]","First show that   [$]\cov{(\hat{\boldsymbol{\beta}}, \mathbf{y} - \mathbf{X} \hat{\boldsymbol{\beta}})} = \mathbf{0}[/$]  Then it follows that [$]\hat{\boldsymbol{\beta}} \perp \S^2[/$]",""
"3 Multivariate Statistics (250A)","c Least Squares Theory","In OLS, with the assumption that the errors are iid normal, and that X is full rank, prove that  [$]\frac{RSS}{\sigma^2} = \frac{(n-p)S^2}{\sigma^2} \sim \chi^2-{n-p}[/$]","Since [$]RSS = \boldsymbol{\varepsilon}' (\mathbf{I} - \mathbf{P}) \boldsymbol{\varepsilon}[/$], we invoke the distribution of quadratic forms",""
"3 Multivariate Statistics (250A)","c Least Squares Theory","Write out the MLE for beta in OLS","???",""
"3 Multivariate Statistics (250A)","c Least Squares Theory","For two design matrices [$]\mathbf{X}_1, \mathbf{X}_2[/$] where \mathcal{C}(\mathbf{X}_1) \subseteq \mathcal{C}(\mathbf{X}_2)[/$],  how do their projection matrices relate?","[$]P_{\mathbf{X}_1} P_{\mathbf{X}_2} = P_{\mathbf{X}_1}[/$]  Their product equals the smaller projection matrix.",""
"4 Coding","a Linux","How to clone a repo with github","git clone [url]",""
"4 Coding","a Linux","How to update your local github repo","git pull",""
"4 Coding","a Linux","How to move a file from your working directory to the remote github repo?","1) git add 2) git commit 3) git push",""
"4 Coding","a Linux","git fetch","pulls files from remote repo to local repo",""
"4 Coding","a Linux","git merge","pulls files from local repo to working directory",""
"4 Coding","a Linux","-m command","-m ""MESSAGE""  Example: git commit -m ""my message""",""
"4 Coding","a Linux","git diff","show differences between now and most recent commit",""
"4 Coding","a Linux","git checkout FILENAME","undo git add and git commit",""
"4 Coding","a Linux","git branch branchname","create a branch",""
"4 Coding","a Linux","git branch","show all project branches",""
"4 Coding","a Linux","git checkout branchname","switch to a branch",""
"4 Coding","a Linux","git tag","show tags (major landmarks)",""
"4 Coding","a Linux","git tag tagname","create a tag",""
"4 Coding","a Linux","What is the purpose of .gitignore?","It is a text document to tell github which items it can ignore and not upload to the repo",""
"4 Coding","a Linux","determine the current shell in Linux","echo $SHELL",""
"4 Coding","a Linux","What does ""man"" do in Linux","It helps show documentation for functions.  Ex: man ls  gives you documentation for ls",""
"4 Coding","a Linux","pwd in Linux","Present working directory (pwd) prints the absolute path to your current directory",""
"4 Coding","a Linux","ls in Linux","Tells you what is in the current directory.",""
"4 Coding","a Linux","-a flag in Linux","Selects all files.   Ex: ls -a  lists all files, even hidden folders  Ex: git commit -a  commit all files that have been staged",""
"4 Coding","a Linux","-l flag in Linux","Gives a detailed list of the output  Ex: ls -l  detailed contents of a directory",""
"4 Coding","a Linux","[Linux]  ..","denotes the parent of current working directory",""
"4 Coding","a Linux","[Linux]  .","denotes the current working directory",""
"4 Coding","a Linux","[Linux]  ~","denotes the home directory",""
"4 Coding","a Linux","[Linux]  /","denotes the root directory",""
"4 Coding","a Linux","[Linux]  How to go to the parent (previous) directory, home directory, and root directory","Parent directory = cd .. Home directory = cd OR cd ~ Root directory = cd /",""
"4 Coding","a Linux","[Linux]  How to copy a file","cp <file name> <target location>",""
"4 Coding","a Linux","[Linux]  How to move a file","mv <file name> <new location>",""
"4 Coding","a Linux","[Linux]  How to create a a text file","touch <name>.txt",""
"4 Coding","a Linux","[Linux]  How to create a new directory","mkdir <directory name>",""
"4 Coding","a Linux","[Linux]  How to delete a file","rm <file name>",""
"4 Coding","a Linux","[Linux]  How to delete a directory and everything in it","rm -rf <directory name>",""
"4 Coding","a Linux","[Linux]  Identify the following wildcard characters:  ?, *, +, ^, $","? = any single character * = any amount of any characters + = one or more preceding pattern ^ = beginning of the line $ = end of the line",""
"4 Coding","a Linux","[Linux]  How to take a sneak peak of the contents of a file","cat <file name> to print the entire file  head <file name>  for just the first 10 lines  head -15 <file name> for just the first 15 lines  tail <file name> for just the last 10 lines",""
"4 Coding","a Linux","[Linux]  What does -n flag usually mean?","Usually followed by a number argument.  Ex: tail -n +20 temp.R  prints out the last lines of code starting from line 20",""
"4 Coding","a Linux","[Linux]  What does a pipe (|) do?","A pipe sends output from one command as input for another command.  Ex: ls -l | head -5  the (head -5) argument is applied to the list generated by (ls -l)",""
"4 Coding","a Linux","[Linux]  What do >, >>, and < do?",">  directs output from one command to a file  It implicitly erases whatever might have been there before.  >> appends output from one command to a file  It does not erase anything but rather appends  < reads input from a file",""
"4 Coding","a Linux","[Linux]  What do ""less"" and ""more"" do?","Opens a file and you can read it",""
"4 Coding","a Linux","[Linux]  grep","prints lines that match an expression.  Ex: grep ""word"" temp.txt  and it will print lines that have ""word"" in it",""
"4 Coding","a Linux","[Linux]  sed","""sed"" stands for stream editor  It can search, find and replace, insert, or replace phrases in text files.  Ex: sed 'sed/CentOS/RHEL/' linux.qmd  replaces CentOS by RHEL",""
"4 Coding","a Linux","[Linux]  awk","""awk"" is a function that can filter and write reports  the syntax is as follows:  awk options 'selection _criteria {action }' input-file > output-file",""
"4 Coding","a Linux","[Linux]  How to use ""awk"" to print lines","awk '{print}' xxx.txt",""
"4 Coding","a Linux","[Linux]  What are the built-in variables for ""awk""?   NR, NF, FS, RS, OFS, ORS","NR = current line number NF = number of fields in the current line FS =  RS =  OFS =  ORS =",""
"4 Coding","a Linux","[Linux]  wc","line count, or word count   Ex: wc",""
"6 Survival Analysis",NA,"What is a survival function?","The probability of an individual surviving until time t  Continuous:  [$]S(t) = P(T > t) = \int_t^{\infty} f(t) dt[/$]  Discrete:  [$]S(t) = P(T > t) = \sum_{t_j > t} P(t_j)[/$]",""
"6 Survival Analysis",NA,"Hazard function (risk function)","The chance an individual experiences the event in the next instant in time.  Continuous:  [$]h(t) = \lim_{\Delta t  \rightarrow 0} \frac{P(t \leq T < t + \Delta t \mid T \geq t)}{\Delta t}[/$]  Discrete:  [$]h(t_j) = P(T = t_j \mid T \geq t_j) = \frac{P(t_j)}{S(t_{j-1})}[/$]  [$]S(t) = \prod_{t_j \leq t} \frac{S(t_j)}{S(t_{j-1})}[/$]  [$]S(t) = \prod_{t_j \leq t} \left[1 - h(t_j)\right][/$]",""
"6 Survival Analysis",NA,"How does the survival function relate to the CDF?  [$]S(t), F(t)[/$]","[$]S(t) = 1 - F(t)[/$]",""
"6 Survival Analysis",NA,"How do the hazard function, cumulative hazard function, and survival function relate to each other?","[$]h(t) = \frac{f(t)}{S(t)} = -\frac{d \ln{(S(t))}}{dt}[/$]  [$]H(t) = \int_0^t h(u) du = - \ln{(S(t))}[/$]",""
"9 Extras",NA,"How to clone a git repo but give it a new name","git clone [URL] new_name",""
"9 Extras",NA,"How to update your remote tracking branches","git fetch",""
"9 Extras",NA,"Add a new branch","git branch [branch name]",""
"9 Extras",NA,"change git branch","git checkout [new branch name]",""
"9 Extras",NA,"how to merge branches","1) have your HEAD point to the main branch  git checkout [main branch name]  2) merge them  git merge [secondary branch name]",""
"9 Extras",NA,"how to move a local branch to sync with the remove branch","First, make sure that you are on the correct branch:  git checkout [branch name]  Then, you do a git pull  git pull origin master",""
"9 Extras",NA,"how to delete a branch in git","git branch -D [branch name]",""
"Matrix Derivatives",NA,"[$]\frac{\partial}{\partial \mathbf{x}} \mathbf{Ax}[/$]","[$]\mathbf{A}[/$]",""
"Matrix Derivatives",NA,"[$]\frac{\partial}{\partial y} \mathbf{yAx}[/$]","[$]\mathbf{x'A'}[/$]",""
"Optimization",NA,"Lagrange Multipliers","If we want to minimize a function f(x) subject to g(x) = 0, then the lgrangian is:  [$]L(x, \lambda) = f(x) + \lambda \cdot g(x)[/$]",""
"Optimization",NA,"Second Order Taylor Expansion around  [$]f(\mathbf{x} + \Delta \mathbf{x})[/$]  for a vector [$]\mathbf{x}[/$]","[$]f(\mathbf{x} + \Delta \mathbf{x}) = f(\mathbf{x}) + \nabla f(\mathbf{x})' \Delta \mathbf{x} + \frac{1}{2} \delta \mathbf{x}' \nabla^2 f(\mathbf{x}) \Delta \mathbf{x}[/$]",""
"Optimization",NA,"Newton Raphson Step","[$] \Delta \mathbf{x} = - \left[\nabla^2 f(\mathbf{x})\right]^{-1} \nabla f(\mathbf{x})[/$]",""
NA,NA,"[$]\text{Cov}(\mathbf{AX}, \mathbf{BY})[/$]","[latex]$ \mathbf{A} \text{Cov}(\mathbf{X},\mathbf{Y}) \mathbf{B}'$[/latex]",""
NA,NA,"if [$]\mathbf{y} \sim \mathcal{N}_n(\boldsymbol{\mu}, \boldsymbol{\Sigma})[/$], what is the distribution of [$]\mathbf{Cy} + \mathbf{d}[/$]  where [$]\mathbf{C}[/$] is a [$]m \times n[/$] matrix of constants, and [$]\mathbf{d}[/$] is a [$]m \times 1[/$] vector of constants","[$]\mathbf{Cy} + \mathbf{d} \sim \mathcal{N}_m(\mathbf{C}\boldsymbol{\mu} + \mathbf{d}, \mathbf{C}\boldsymbol{\Sigma}\mathbf{C}')[/$]",""
NA,NA,"For random matrix [$]\mathbf{Z}[/$] and constant matrices [$]\mathbf{A,B,C}[/$], what is  [$]\mathbb{E}[\mathbf{AZB + C}][/$]","[$]\mathbf{A} \mathbb{E}[\mathbf{Z}] \mathbf{B} + \mathbf{C}[/$]",""
NA,NA,"Expectation of Discrete Random Variable","[$]\mathbb{E}[X] = \sum_i x_i \cdot p_X(X = x_i)[/$]","1_Intro_Stats"
NA,NA,"Expectation of a function of a discrete random variable   [$]\mathbb{E}[g(X)][/$]","[$]\mathbb{E}[g(X)] = \sum_i g(x_i) \cdot p_X(X = x_i)[/$]","1_Intro_Stats"
NA,NA,"Expectation of a continuous random variable","[$]\int x \cdot f_X(x) dx[/$]","1_Intro_Stats"
NA,NA,"Expectation of a function of a continuous random variable   [$]\mathbb{E}[g(X)][/$]","[$]\mathbb{E}[g(X)] = \int g(x) f_X(x) dx[/$]","1_Intro_Stats"
NA,NA,"Definition of Variance of a random variable","[$]Var(X) = \mathbb{E}\left[\left(X - \mathbb{E}[X]\right)^2\right][/$]","1_Intro_Stats"
NA,NA,"Variance as a function of moments","[$]Var(X) = \mathbb{E}[X^2] - \mathbb{E}[X]^2[/$]","1_Intro_Stats"
NA,NA,"Variance of a linear combination of random variables  [$]Var(aX + b)[/$]","[$]a^2 \cdot Var(X)[/$]","1_Intro_Stats"
NA,NA,"Variance of sum of two random variables  [$]Var(X + Y)[/$]","[$]Var(X) + Var(Y) + 2 \cdot Cov(X, Y)[/$]","1_Intro_Stats"
NA,NA,"Variance of a sum of random variables  [$]Var\left(\sum_{i=1}^n X_i\right)[/$]","[$]Var\left(\sum_{i=1}^n X_i\right) = \sum_{i=1}^n Var(X_i) \newline + \sum_{i=1}^n \sum_{j \neq i} Cov(X_i, X_j)[/$]","1_Intro_Stats"
NA,NA,"Definition of covariance","[$]Cov(X, Y) = \mathbb{E}\left[(X - \mathbb{E}[X])(Y - \mathbb{E}[Y])\right][/$]","1_Intro_Stats"
NA,NA,"Covariance as a function of moments","[$]Cov(X,Y) = \mathbb{E}[XY] - \mathbb{E}[X] \mathbb{E}[Y][/$]","1_Intro_Stats"
NA,NA,"Covariance as an integral of a continuous random variable","[$]Cov(X,Y) = \int \int (x - \mu_x)(y - \mu_y) f_{X,Y}(x,y) dx dy[/$]","1_Intro_Stats"
NA,NA,"Covariance of two discrete random variables  Use two summations","[$]Cov(X,Y) = \sum \sum (x - \mu_x)(y - \mu_y) f_{X,Y}(x,y)[/$]","1_Intro_Stats"
NA,NA,"[$]Cov(X + Y, Z)[/$]","[$]Cov(X, Z) + Cov(Y, Z)[/$]","1_Intro_Stats"
NA,NA,"[$]Cov(aX + b, cY + d)[/$]","[$]ac \cdot Cov(X,Y)[/$]","1_Intro_Stats"
NA,NA,"Correlation of two random variables formula","[$]Cor(X,Y) = \frac{Cov(X,Y)}{\sqrt{Var(X) \cdot Var(Y)}}[/$]","1_Intro_Stats"
NA,NA,"nth moment of a random variable","[$]\mu_n' = \mathbb{E}[X^n][/$]","1_Intro_Stats"
NA,NA,"nth central moment of a random variable","[$]\mu_n = \mathbb{E}\left[(X - \mu)^n\right][/$]","1_Intro_Stats"
NA,NA,"Probability generating function (PGF)","[$]G(z) = \mathbb{E}\left[z^X\right] = \sum P(X = x)z^x[/$]","1_Intro_Stats"
NA,NA,"Moment generating function (MGF)","[$]M_X(t) = \mathbb{E}\left[e^{tX}\right][/$]","1_Intro_Stats"
NA,NA,"Calculating moments from MGF's","[$]\mathbb{E}\left[X^n\right] = \left. M_X^{(n)}(0) = \frac{d^n M_X}{dt^n} \right|_{t = 0}[/$]","1_Intro_Stats"
NA,NA,"MGF of linear transformation of random variable  [$]M_{\alpha X + \beta}(t)[/$]","[$]M_{\alpha X + \beta}(t) = \mathbb{E}\left[e^{(\alpha X + \beta) t}\right] = e^{\beta t} M_X(\alpha t)[/$]","1_Intro_Stats"
NA,NA,"Markov Inequality","[$]P(X \geq a) \leq \frac{\mathbb{E}[X]}{a}[/$]","1_Intro_Stats"
NA,NA,"Chebyshev's Inequality","[$]P(|X - \mathbb{E}[X]| \geq a) \leq \frac{Var(X)}{a^2}[/$]","1_Intro_Stats"
NA,NA,"If [$]X \sim Pois(\lambda_1)[/$] and [$] Y \sim Pois(\lambda_2)[/$], then what is [$]W = X + Y[/$]","[$] W = X + Y \sim Pois(\lambda_1 + \lambda_2)[/$]","1_Intro_Stats"
NA,NA,"[$]\chi^2_k \equiv Gamma(x,y)[/$]. What are x and y?","[$]\chi^2_k \equiv Gamma\left(\frac{k}{2}, 2\right)[/$]","1_Intro_Stats"
NA,NA,"If [$]X \sim t_{\nu}[/$], then what is the distribution of [$]X^2[/$]?","[$]X^2 \sim F_{1, \nu}[/$]","1_Intro_Stats"
NA,NA,"Marginal PMF formula","[$]f_X(x) = \sum_y f_{X,Y}(x,y)[/$] [$]f_Y(y) = \sum_x f_{X,Y}(x,y)[/$]","1_Intro_Stats"
NA,NA,"Marginal PDF formula","[$]f_X(x) = \int_{-\infty}^{\infty} f_{X,Y}(x,y) dy[/$] [$]f_Y(y) = \int_{-\infty}^{\infty} f_{X,Y}(x,y) dx[/$]","1_Intro_Stats"
NA,NA,"Joint PDF as a function of joint CDF","[$]f_{X,Y}(x,y) = \frac{\partial^2 F(x,y)}{\partial x \partial y}[/$]","1_Intro_Stats"
NA,NA,"Bivariate CDF formula","[$]F_{X,Y}(x,y) = P(X \leq x, Y \leq y)[/$]","1_Intro_Stats"
NA,NA,"Conditional PDF formula as a function of the joint PDF","[$]f_{Y | X}(y | x) = \frac{f_{X,Y}(x,y)}{f_X(x)}[/$]","1_Intro_Stats"
NA,NA,"Conditional Expectation formula  [$]\mathbb{E}[X | Y = y][/$]","[$]\mathbb{E}[X | Y = y] = \int x f(x|y) dx = \int x \frac{f_{X,Y}(x,y)}{f_Y(y)}dx[/$]","1_Intro_Stats"
NA,NA,"Simplify the conditional expectation  [$]\mathbb{E}[g(Y) | x][/$]","[$]\mathbb{E}[g(Y) | x] = \int g(y) \frac{f_{X,Y}(x,y)}{f_X(x)} dy[/$]","1_Intro_Stats"
NA,NA,"Law of Total Expectation","[$]\mathbb{E}[\mathbb{E}[X | Y]] = \mathbb{E}[X][/$]","1_Intro_Stats"
NA,NA,"Law of Total Variance","[$]Var(Y) = \mathbb{E}[Var(Y|X)] + Var(\mathbb{E}[Y|X])[/$]","1_Intro_Stats"
NA,NA,"CDF of first order statistic (lowest value)","[$] F_{X_{(1)}}(x) = 1 - (1 - F(x))^n[/$]","1_Intro_Stats"
NA,NA,"PDF of first order statistic where CDF is  [$]F_{X_{(1)}}(x) = 1 - (1 - F(x))^n[/$]","[$]f_{X_{(1)}}(x) = n (1 - F(x))^{n-1} f(x)[/$]","1_Intro_Stats"
NA,NA,"CDF of highest order statistic","[$]F_{X_{(n)}}(x) = F(x)^n[/$]","1_Intro_Stats"
NA,NA,"PDF of highest order statistic given the CDF:  [$]F_{X_{(n)}} = F(x)^n[/$]","[$]f_{X_{(n)}}(x) = n F(x)^{n-1} f(x)[/$]","1_Intro_Stats"
NA,NA,"Exponential family form","[$]f_X(x : \boldsymbol{\theta}) = h(x) \exp{\left( \boldsymbol{\eta}(\boldsymbol{\theta})^{\top} \mathbf{T}(x) - A(\boldsymbol{\theta})\right)}[/$]","1_Intro_Stats"
NA,NA,"Find the canonical link function in the exponential family:  [$]f_X(x : \boldsymbol{\theta}) = h(x) \exp{\left( \boldsymbol{\eta}(\boldsymbol{\theta})^{\top} \mathbf{T}(x) - A(\boldsymbol{\theta})\right)}[/$]","[$]\boldsymbol{\eta}(\boldsymbol{\theta})[/$]","1_Intro_Stats"
NA,NA,"Find the sufficient statistic in the exponential family  [$]f_X(x : \boldsymbol{\theta}) = h(x) \exp{\left( \boldsymbol{\eta}(\boldsymbol{\theta})^{\top} \mathbf{T}(x) - A(\boldsymbol{\theta})\right)}[/$]","[$]\mathbf{T}(x)[/$]","1_Intro_Stats"
NA,NA,"Central Limit Theorem","If [$]X_1, \ldots, X_n[/$] are iid random variables with mean [$]\mu[/$] and variance [$]\sigma^2[/$], then the distribution of the sample mean will be asymototically normal:  [$]\overline{X}\sim \mathcal{N}\left(\mu, \frac{\sigma^2}{n}\right)[/$]","1_Intro_Stats"
NA,NA,"Sufficient Statistic definition","A statistic [$]T(\mathbf{X})[/$] is a sufficient statistic for [$]\theta[/$] if the conditional distribution of [$]\mathbf{X}[/$] given the value of [$]T(\mathbf{X})[/$] does not depend on [$]\theta[/$]","1_Intro_Stats"
NA,NA,"Ancillary Statistic","A statistic [$]S(\mathbf{X})[/$] whose sampling distribution does not depend on the parameter [$]\theta[/$]","1_Intro_Stats"
NA,NA,"Complete Statistic","???","1_Intro_Stats"
NA,NA,"Method of Moments Estimator","[$]\hat{\mu}_{k} = \frac{X_1^k + \cdots + X_n^k}{n}[/$]","1_Intro_Stats"
NA,NA,"Likelihood function formula with density [$]f(x | \pi)[/$]","[$] l(\pi) = \prod f(x_i | \pi)[/$]","1_Intro_Stats"
NA,NA,"Log-Likelihood as a function of the densities [$] f(x | \pi)[/$]","[$]L(\pi) = \sum_i \log{f(x_i | \pi)}[/$]","1_Intro_Stats"
NA,NA,"Score function as a function of density [$]f(x | \pi)[/$]","[$]S(\pi) = \sum_i \frac{\partial}{\partial \pi} \log{f(x_i | \pi)}[/$]","1_Intro_Stats"
NA,NA,"Fisher information of a random variable as a function of log-likelihood","[$]\mathcal{I}(\pi) = -\frac{\partial^2}{\partial \pi^2} L(\pi)[/$]","1_Intro_Stats"
NA,NA,"Exepctation of score function","[$]\mathbb{E}[S(\pi)] = 0[/$]","1_Intro_Stats"
NA,NA,"Variance of score function","[$]Var(S(\theta)) = \mathcal{I}(\theta)[/$]","1_Intro_Stats"
NA,NA,"Equations for Expected Fisher Information","[$]\mathcal{I}(\theta) = Var(S(\theta)) = \mathbb{E}[S(\theta)^2] = -\mathbb{E}[\mathcal{J}(\theta)][/$]","1_Intro_Stats"
NA,NA,"Asymptotic Distribution of MLE","[$]\sqrt{n}(\hat{\theta}_{MLE} - \theta) \sim \mathcal{N}(0, \mathcal{I}(\theta)^{-1})[/$]","1_Intro_Stats"
NA,NA,"Wald Test for Parameter Estimation","Using the asymtotically normal distribution of the MLE, we approximate using the normal distribution:  [$]z = \frac{(\hat{\theta} - \theta_0)}{\sqrt{\mathcal{I}(\hat{\theta})}} \sim \mathcal{N}(0,1)[/$]","1_Intro_Stats"
NA,NA,"Score Test for Parameter Estimation","Using the distribution of the score function:  [$]","1_Intro_Stats"
NA,NA,"Multivariate Wald Test","[$]n(\hat{\theta} - \theta_0)^{\top} \mathcal{J}(\theta_0) (\hat{\theta} - \theta_0) \rightarrow \chi_d^2[/$]  where [$]d[/$] is the number of parameters in [$]\theta[/$]","1_Intro_Stats"
NA,NA,"Multivariate Score Test","[$]\frac{1}{n} \textbf{u}(\theta_0)^{\top} \mathcal{J}(\theta_0)^{-1} \mathbf{u}(\theta_0) \rightarrow \chi^2_d[/$]  where [$]d[/$] is the number of parameters in [$]\theta[/$]","1_Intro_Stats"
NA,NA,"Likelihood Ratio Test","[$] 2 \log{\left(\frac{L(\hat{\theta})}{L(\theta_0)}\right)} \rightarrow \chi^2_d[/$]","1_Intro_Stats"
